City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Rikitea,PF,78.39,overcast clouds,-23.1203,-134.9692,Pension Maro'i
5,Port Alfred,ZA,70.0,clear sky,-33.5906,26.891,The Halyards Hotel
7,Port Elizabeth,ZA,68.0,light rain,-33.918,25.5701,39 On Nile Guest House
12,Waipawa,NZ,62.6,broken clouds,-41.4122,175.5153,Tora Coastal Walk
13,Puerto Del Rosario,ES,60.8,broken clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
14,Libacao,PH,79.38,moderate rain,10.1825,122.9158,Villa Mercedez
21,Busselton,AU,72.0,clear sky,-33.65,115.3333,Observatory Guest House
23,Cape Town,ZA,73.0,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
24,Hobart,AU,64.99,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
30,Makakilo City,US,73.4,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
34,Jalu,LY,74.57,clear sky,29.0331,21.5482,صاحبة الفخامة
35,Tabou,CI,80.73,broken clouds,4.423,-7.3528,hotêl doufoulougou
38,Cidreira,BR,76.03,scattered clouds,-30.1811,-50.2056,Hotel Castelo
40,Hilo,US,71.6,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
44,Vaini,TO,78.8,broken clouds,-21.2,-175.2,Keleti Beach Resort
45,Olinda,BR,78.8,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
49,Hermanus,ZA,68.0,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
51,Mahibadhoo,MV,81.57,overcast clouds,3.7833,72.9667,Omadhoo Inn
52,Arraial Do Cabo,BR,75.2,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
53,Maragogi,BR,77.27,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
54,Kapaa,US,73.4,moderate rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
60,El Tigre,VE,73.36,light rain,8.8875,-64.2454,Hotel Santa Cruz
63,Atuona,PF,77.5,light rain,-9.8,-139.0333,Villa Enata
65,Masvingo,ZW,78.93,light rain,-20.0637,30.8277,River Side Lodge
66,Touros,BR,77.0,few clouds,-5.1989,-35.4608,INN NEW HORIZON
67,Cayenne,GF,75.2,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
69,Arlit,NE,80.58,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
70,Bintulu,MY,89.6,few clouds,3.1667,113.0333,900 Boutique INN
71,Puerto Ayora,EC,73.0,clear sky,-0.7393,-90.3518,Castillo Galapagos
75,Georgetown,MY,87.8,scattered clouds,5.4112,100.3354,Cititel Penang
76,Anuradhapura,LK,78.62,moderate rain,8.3565,80.4173,Nilketha Villa Eco Hotel
80,Butaritari,KI,81.23,light rain,3.0707,172.7902,Isles Sunset Lodge
82,Japura,ID,77.4,light rain,-0.3167,102.35,Rumah mbah Jamah
83,Alofi,NU,77.0,scattered clouds,-19.0595,-169.9187,Taloa Heights
86,Lazaro Cardenas,MX,70.84,clear sky,17.9583,-102.2,Collection O Hotel Quinta Antigua
91,Ratnagiri,IN,88.52,clear sky,16.9833,73.3,Hotel Landmark
92,Nagua,DO,71.01,overcast clouds,19.3832,-69.8474,Hotel Cambri
93,Biak,ID,83.26,few clouds,-0.9131,122.8766,Penginapan Kim
94,Castro,BR,61.14,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
96,Otane,NZ,61.0,broken clouds,-39.8833,176.6333,Ludlow Farmstay
102,Casino,AU,75.2,clear sky,-28.8667,153.05,Squatters Homestead Motel
106,Kijabe,KE,69.71,light rain,-0.9329999999999999,36.5758,Moffat Guesthouse
107,Sabang,ID,81.79,broken clouds,5.8933,95.3214,Hotel Citra
108,San Rafael,AR,66.81,light rain,-34.6177,-68.3301,Hotel San Rafael
110,Bandarbeyla,SO,76.05,scattered clouds,9.4942,50.8122,JABIR HOTEL
111,Caravelas,BR,76.93,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
113,San-Pedro,CI,79.68,scattered clouds,4.7485,-6.6363,Hotel Maria
114,Black River,JM,75.99,few clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
115,Puerto Escondido,MX,73.22,light rain,15.85,-97.0667,Aldea del Bazar Hotel and Spa
119,Lamu,KE,89.6,clear sky,-2.2717,40.902,Lamu House
120,Tres Arroyos,AR,67.24,clear sky,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
123,Belmonte,BR,75.2,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
126,Tabalosos,PE,62.35,broken clouds,-6.35,-76.6833,Proyecto de Lounge Nazareth
130,Mar Del Plata,AR,64.0,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
131,Cabo San Lucas,MX,64.56,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
134,Bredasdorp,ZA,66.2,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
138,Esperance,AU,71.6,broken clouds,-33.8667,121.9,Hospitality Esperance
139,Katherine,AU,86.0,light rain,-14.4667,132.2667,Pine Tree Motel
140,Busembatia,UG,74.75,light rain,0.7697,33.6131,STAINER
141,Rumuruti,KE,73.67,broken clouds,0.267,36.5389,"Neema Hotel,Near Rumuruti Market"
143,Grand-Lahou,CI,80.74,broken clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
144,Bontang,ID,83.97,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
146,Hithadhoo,MV,81.64,scattered clouds,-0.6,73.0833,Scoop Guest House
150,Saint-Philippe,RE,86.0,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
153,Saint-Joseph,RE,86.0,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
155,Kaeo,NZ,63.0,overcast clouds,-35.1,173.7833,Bushido Lodge
