City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Rikitea,PF,-23.1203,-134.9692,78.39,77,92,13.69,overcast clouds
1,Saskylakh,RU,71.9167,114.0833,-26.19,83,77,9.78,broken clouds
2,Avera,US,33.194,-82.5271,30.2,92,1,4.61,haze
3,Mataura,NZ,-46.1927,168.8643,52.0,94,79,14.0,broken clouds
4,Dikson,RU,73.5069,80.5464,2.08,94,100,19.66,light snow
5,Port Alfred,ZA,-33.5906,26.891,70.0,88,8,1.01,clear sky
6,Tuktoyaktuk,CA,69.4541,-133.0374,-3.6,92,66,5.12,broken clouds
7,Port Elizabeth,ZA,-33.918,25.5701,68.0,83,90,8.05,light rain
8,Whitehorse,CA,60.7161,-135.0538,23.0,86,40,16.11,scattered clouds
9,College,US,64.8569,-147.8028,10.4,85,75,4.61,broken clouds
10,Fujishiro,JP,35.9167,140.1167,44.01,47,20,2.3,few clouds
11,Punta Arenas,CL,-53.15,-70.9167,42.8,87,90,5.75,overcast clouds
12,Waipawa,NZ,-41.4122,175.5153,62.6,82,75,19.57,broken clouds
13,Puerto Del Rosario,ES,28.5004,-13.8627,60.8,63,75,11.5,broken clouds
14,Libacao,PH,10.1825,122.9158,79.38,84,100,13.76,moderate rain
15,Nouadhibou,MR,20.931,-17.0347,59.0,72,0,27.63,clear sky
16,Craig,US,40.5153,-107.5464,17.6,73,90,3.44,overcast clouds
17,Havre-Saint-Pierre,CA,50.2334,-63.5986,21.2,73,1,4.61,clear sky
18,Albany,US,42.6001,-73.9662,24.01,60,80,6.17,broken clouds
19,Vardo,NO,70.3705,31.1107,20.93,93,100,21.03,overcast clouds
20,Tsuruga,JP,35.6455,136.0558,39.0,60,96,3.0,overcast clouds
21,Busselton,AU,-33.65,115.3333,72.0,60,0,7.0,clear sky
22,Dahuk,IQ,36.8695,42.994,55.98,35,0,1.48,clear sky
23,Cape Town,ZA,-33.9258,18.4232,73.0,52,20,21.85,few clouds
24,Hobart,AU,-42.8794,147.3294,64.99,68,75,14.97,broken clouds
25,Maneadero,MX,31.7167,-116.5667,55.2,38,0,5.01,clear sky
26,Leningradskiy,RU,69.3833,178.4167,-20.9,84,96,6.06,overcast clouds
27,Ilulissat,GL,69.2167,-51.1,19.4,45,100,2.3,overcast clouds
28,Sooke,CA,48.3746,-123.7276,42.8,84,100,24.16,overcast clouds
29,Provideniya,RU,64.3833,-173.3,-6.66,82,0,5.3,clear sky
30,Makakilo City,US,21.3469,-158.0858,73.4,78,20,4.81,few clouds
31,Westport,US,41.1415,-73.3579,30.0,64,7,13.11,clear sky
32,Kieta,PG,-6.2167,155.6333,82.08,75,99,4.32,overcast clouds
33,Ustye,RU,59.6304,39.736,5.58,94,84,6.46,broken clouds
34,Jalu,LY,29.0331,21.5482,74.57,27,0,10.49,clear sky
35,Tabou,CI,4.423,-7.3528,80.73,81,72,6.26,broken clouds
36,Severo-Kurilsk,RU,50.6789,156.125,20.55,88,97,21.54,overcast clouds
37,Amapa,BR,1.0,-52.0,70.9,97,100,1.5,overcast clouds
38,Cidreira,BR,-30.1811,-50.2056,76.03,83,34,14.16,scattered clouds
39,Jamestown,US,42.097,-79.2353,25.0,93,1,6.91,clear sky
40,Hilo,US,19.7297,-155.09,71.6,78,40,6.91,scattered clouds
41,Kaitangata,NZ,-46.2817,169.8464,55.99,74,81,11.99,broken clouds
42,Staryy Nadym,RU,65.6118,72.6842,-24.27,86,0,10.65,clear sky
43,Alice Springs,AU,-23.7,133.8833,93.2,21,40,12.66,scattered clouds
44,Vaini,TO,-21.2,-175.2,78.8,89,75,3.44,broken clouds
45,Olinda,BR,-8.0089,-34.8553,78.8,69,40,3.44,scattered clouds
46,Tuatapere,NZ,-46.1333,167.6833,52.0,94,55,14.0,broken clouds
47,Yellowknife,CA,62.456,-114.3525,3.2,85,1,8.05,clear sky
48,Khorramabad,IR,33.4878,48.3558,48.2,27,0,2.3,clear sky
49,Hermanus,ZA,-34.4187,19.2345,68.0,67,100,4.0,overcast clouds
50,Thompson,CA,55.7435,-97.8558,3.2,92,1,4.61,clear sky
51,Mahibadhoo,MV,3.7833,72.9667,81.57,72,100,9.89,overcast clouds
52,Arraial Do Cabo,BR,-22.9661,-42.0278,75.2,90,40,11.5,scattered clouds
53,Maragogi,BR,-9.0122,-35.2225,77.27,80,97,7.18,overcast clouds
54,Kapaa,US,22.0752,-159.319,73.4,78,75,8.05,moderate rain
55,Lebu,CL,-37.6167,-73.65,54.91,90,80,11.34,broken clouds
56,Iwaki,JP,37.05,140.8833,34.0,54,47,1.01,scattered clouds
57,Hovd,MN,48.0056,91.6419,-2.74,85,3,2.53,clear sky
58,Belle Fourche,US,44.6714,-103.8522,28.99,100,90,3.69,overcast clouds
59,Tokur,RU,53.1333,132.9,-22.88,88,100,2.59,overcast clouds
60,El Tigre,VE,8.8875,-64.2454,73.36,86,96,11.1,light rain
61,Panguna,PG,-6.3164,155.4848,71.53,99,100,2.28,overcast clouds
62,Barrow,US,71.2906,-156.7887,3.2,85,90,5.75,overcast clouds
63,Atuona,PF,-9.8,-139.0333,77.5,81,67,17.11,light rain
64,Ljungby,SE,56.8332,13.9408,32.0,93,90,12.66,overcast clouds
65,Masvingo,ZW,-20.0637,30.8277,78.93,62,59,7.27,light rain
66,Touros,BR,-5.1989,-35.4608,77.0,83,20,4.61,few clouds
67,Cayenne,GF,4.9333,-52.3333,75.2,100,75,2.3,moderate rain
68,Ouesso,CG,1.6136,16.0517,91.8,42,43,2.33,scattered clouds
69,Arlit,NE,18.7369,7.3853,80.58,15,0,1.99,clear sky
70,Bintulu,MY,3.1667,113.0333,89.6,79,20,8.05,few clouds
