City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2021-01-08 08:51:40,-23.1203,-134.9692,77.99,71,85,1.05
1,Clyde River,CA,2021-01-08 08:51:40,70.4692,-68.5914,-0.4,65,20,12.66
2,New Norfolk,AU,2021-01-08 08:51:40,-42.7826,147.0587,64.0,53,83,1.99
3,Beringovskiy,RU,2021-01-08 08:51:41,63.05,179.3167,-16.78,86,7,4.34
4,Vaini,TO,2021-01-08 08:51:41,-21.2,-175.2,78.8,94,40,4.61
5,Yellowknife,CA,2021-01-08 08:48:15,62.456,-114.3525,-7.6,84,1,6.91
6,Upernavik,GL,2021-01-08 08:51:42,72.7868,-56.1549,-2.02,87,67,5.44
7,Albany,US,2021-01-08 08:51:42,42.6001,-73.9662,24.01,76,10,6.29
8,Wilmington,US,2021-01-08 08:50:55,34.2257,-77.9447,46.0,87,90,10.36
9,Santa Rosa,PH,2021-01-08 08:51:43,14.3122,121.1114,84.2,65,75,3.44
10,Preobrazheniye,RU,2021-01-08 08:51:43,42.9019,133.9064,-1.25,74,0,9.57
11,Port Alfred,ZA,2021-01-08 08:47:21,-33.5906,26.891,75.99,83,81,10.0
12,Veraval,IN,2021-01-08 08:51:43,20.9,70.3667,81.79,45,0,10.69
13,Busselton,AU,2021-01-08 08:51:43,-33.65,115.3333,104.0,16,0,1.01
14,Pisco,PE,2021-01-08 08:51:44,-13.7,-76.2167,69.8,83,98,8.05
15,Mataura,NZ,2021-01-08 08:51:44,-46.1927,168.8643,55.0,80,48,11.01
16,Kapaa,US,2021-01-08 08:51:45,22.0752,-159.319,69.8,88,1,8.05
17,Daru,PG,2021-01-08 08:51:46,-9.0763,143.2092,82.62,75,100,4.38
18,Arraial Do Cabo,BR,2021-01-08 08:51:46,-22.9661,-42.0278,73.4,92,20,2.3
19,Lingdong,CN,2021-01-08 08:51:46,46.5669,131.1453,-16.31,86,86,6.42
20,Puerto Ayacucho,VE,2021-01-08 08:51:46,5.6639,-67.6236,72.82,94,100,3.02
21,Qaanaaq,GL,2021-01-08 08:51:47,77.484,-69.3632,-6.16,87,100,13.94
22,Mount Gambier,AU,2021-01-08 08:51:48,-37.8333,140.7667,73.4,53,0,17.27
23,Port Elizabeth,ZA,2021-01-08 08:51:48,-33.918,25.5701,75.2,78,90,20.71
24,Hobart,AU,2021-01-08 08:51:39,-42.8794,147.3294,63.0,67,40,14.97
25,Punta Arenas,CL,2021-01-08 08:46:57,-53.15,-70.9167,46.4,87,40,11.5
26,Cape Town,ZA,2021-01-08 08:47:15,-33.9258,18.4232,75.99,50,0,20.71
27,Jinchang,CN,2021-01-08 08:51:53,38.4953,102.1739,16.11,60,36,7.4
28,Chokurdakh,RU,2021-01-08 08:51:53,70.6333,147.9167,-11.15,90,100,5.44
29,Vanavara,RU,2021-01-08 08:51:54,60.34,102.2797,-2.69,89,37,8.5
30,Lavrentiya,RU,2021-01-08 08:51:54,65.5833,-171.0,-13.52,84,54,5.08
31,Ushuaia,AR,2021-01-08 08:51:55,-54.8,-68.3,44.6,100,75,18.41
32,Vostochnyy,RU,2021-01-08 08:51:55,55.8167,37.8667,26.6,93,90,11.18
33,Koslan,RU,2021-01-08 08:51:55,63.4564,48.8989,-4.29,91,96,6.06
34,Saskylakh,RU,2021-01-08 08:51:56,71.9167,114.0833,-25.47,85,99,7.14
35,Nuevo Progreso,MX,2021-01-08 08:51:57,23.1667,-97.95,57.0,55,100,3.02
36,Mumford,GH,2021-01-08 08:51:57,5.2618,-0.759,81.91,78,100,7.02
37,Norman Wells,CA,2021-01-08 08:51:57,65.282,-126.8329,-11.2,77,1,4.61
38,Tuatapere,NZ,2021-01-08 08:51:58,-46.1333,167.6833,55.0,80,56,11.01
39,Ancud,CL,2021-01-08 08:51:58,-41.8697,-73.8203,48.99,87,90,3.44
40,Mogoytuy,RU,2021-01-08 08:51:58,51.2833,114.9167,-0.98,85,0,13.04
41,Mayo,US,2021-01-08 08:51:59,38.8876,-76.5119,34.0,75,1,3.44
42,Wanaka,NZ,2021-01-08 08:48:04,-44.7,169.15,57.22,69,58,3.98
43,Saldanha,ZA,2021-01-08 08:51:59,-33.0117,17.9442,78.8,47,0,8.05
44,Fairlie,GB,2021-01-08 08:52:00,55.756,-4.8556,25.0,85,0,8.79
45,Iranshahr,IR,2021-01-08 08:52:03,27.2025,60.6848,57.2,12,0,4.61
46,Rio Brilhante,BR,2021-01-08 08:52:04,-21.8019,-54.5464,70.48,94,81,0.54
47,Jamestown,US,2021-01-08 08:49:02,42.097,-79.2353,25.0,93,90,4.47
48,Avera,US,2021-01-08 08:52:05,33.194,-82.5271,42.8,93,90,6.91
49,Eyl,SO,2021-01-08 08:52:05,7.9803,49.8164,80.49,45,0,24.85
50,Castro,BR,2021-01-08 08:52:05,-24.7911,-50.0119,64.62,96,100,2.33
51,Berezovyy,RU,2021-01-08 08:52:05,51.6667,135.7,-20.94,82,2,1.25
52,Narsaq,GL,2021-01-08 08:52:06,60.9167,-46.05,35.6,93,90,1.54
53,Severo-Kurilsk,RU,2021-01-08 08:52:06,50.6789,156.125,22.62,82,100,17.31
54,Mahebourg,MU,2021-01-08 08:52:06,-20.4081,57.7,82.4,69,75,14.97
55,Maceio,BR,2021-01-08 08:52:06,-9.6658,-35.7353,73.4,94,0,3.44
56,Saint-Philippe,RE,2021-01-08 08:52:07,-21.3585,55.7679,86.0,54,0,25.32
57,Te Anau,NZ,2021-01-08 08:52:07,-45.4167,167.7167,50.43,82,29,4.61
58,Genhe,CN,2021-01-08 08:52:07,50.7833,121.5167,-20.13,85,95,3.36
59,Puerto Del Rosario,ES,2021-01-08 08:52:12,28.5004,-13.8627,66.2,72,40,23.02
60,Alofi,NU,2021-01-08 08:52:12,-19.0595,-169.9187,77.0,94,62,4.61
61,Airai,TL,2021-01-08 08:52:12,-8.9266,125.4092,65.95,100,97,2.37
62,Katangli,RU,2021-01-08 08:52:12,51.7102,143.2326,-11.63,83,100,8.46
63,Geraldton,AU,2021-01-08 08:52:13,-28.7667,114.6,93.2,26,95,13.8
